Unnamed: 0,sentence,sentence_length
2732,They went to the theater in London,28
2733,I saw this film several times last year during the summer,47
2734,My uncle visited today,19
2735,The termites destroyed the sand castle,33
2736,Being honest is not an easy task,26
2737,That John passed surprised her,26
2738,To finish this work on time is almost unexpected,40
2739,Under the bed is a safe place to hide,29
2740,I sent a surprise present to John,27
2741,They wondered what she did yesterday,31
2742,They believed that everybody would pass the test,41
2744,To delay the march and to go ahead with it have been argued by different people at different times,80
2745,The little cat devoured a mouse last night,35
2746,John left very early,17
2747,John studied hard to pass the exam,28
2748,She disappeared when the main party arrived,37
2749,A boy hit the ball,14
2750,The students felt comfortable in the class,36
2751,John gave a book to the students,26
2752,John died last night,17
2753,John bought a lot of books for his sons,31
2754,John promised Bill to leave tomorrow morning,38
2755,John deprived his sons of game cards,30
2756,Mary received an award from the department,36
2757,John told the rumor to his friend,27
2758,John put his books in the attic,25
2759,The government kept all the money,28
2760,John hit the ball with a bat,22
2761,John wiped the window with a towel,28
2762,The cat chased pat the mouse,23
2763,The mouse was chased by the cat,25
2764,There still remains an issue to be solved,34
2765,There lived a man with his grandson,29
2766,John resembles his mother,22
2767,A is similar to B,13
2768,John runs into the house,20
2769,Mary looked at the sky,18
2770,She was the nicest teacher in the Senior School,39
2771,The next morning we set out for Seoul,30
2772,Doing syntax is not easy,20
2773,He saw the man with the stick,23
2774,They parted the best of friends,26
2775,In the summer we always go to France,29
2776,Last year I saw this film several times,32
2777,He baked Tom the bread last night,27
2778,That they have completed the course is amazing,39
2779,The teacher made students happy,27
2780,We reminded him of the agreement,27
2781,In the garden stands a statue,24
2782,Among the guests was sitting my friend Louise,38
2783,This proved my hypothesis,22
2784,The students all enjoyed that summer,31
2785,The students all worked that summer,30
2786,The scientist made her a robot,25
2787,The students called me a teacher,27
2788,A big green insect flew into the soup,30
2789,We placed the cheese in the refrigerator,34
2790,Frank threw himself into the sofa,28
2791,The ice melted,12
2792,The vacuum cleaner frightens the child,33
2793,John put his gold under the bathtub,29
2794,This is the box in which John put his gold,33
2795,This is the gold that John put under the bathtub,39
2796,The king kept putting his gold under the bathtub,40
2797,The defendant denied the accusation,31
2798,The teacher handed the student a book,31
2799,They want to leave the meeting,25
2800,The senators know that the president is telling a lie,44
2801,be eager to leave the meeting,24
2802,Tom offered advice to his students in his office,40
2803,Tom offered advice to his students with love,37
2804,John kept him behind the garage,26
2805,John kept him busy,15
2806,John stayed behind the counter,26
2807,John deposited some money in the bank,31
2808,John deposited some money in the bank on Friday,39
2809,Kim and Sandy met in Seoul in the lobby of the Lotte Hotel in March,53
2810,John deposited some money in the checking account and Mary did the same thing,64
2811,John deposited some money in the checking account on Friday and Mary did the same thing,72
2812,John deposited some money in the checking account on Friday and Mary did the same thing on Monday,80
2813,Kim jogs on the hill,16
2814,Kim jogs under the hill,19
2815,Kim jogs over the hill,18
2816,Kim depends,10
2817,Kim relies on Sandy,16
2818,Kim depends on Sandy,17
2819,John met a student in the park,24
2820,The problem disappeared,21
2821,The boy gave the baby the book,24
2822,The bird devours the worm,21
2823,The birds devour the worm,21
2824,Every photo of Max and sketch by his students appeared in the magazine,58
2825,No photo of Max and sketch by his students appeared in the magazine,55
2826,The present king of country music is more popular than the last one,55
2827,The election results surprised everybody,36
2828,That he won the election surprised everybody,38
2829,John disappeared,15
2830,John coughed,11
2831,The president looked weary,23
2832,The teacher became tired of the students,34
2833,The lasagna tasted delicious,25
2834,John remained somewhat calm,24
2835,The jury seemed ready to leave,25
2836,John became a success,18
2837,John seemed a fool,15
2838,John remained a student,20
2839,John saw Fred,11
2840,Alice typed the letter,19
2841,Clinton supported the health care bill,33
2842,Raccoons destroyed the garden,26
2843,The school board leader asked the students a question,45
2844,John taught new students English Syntax,34
2845,The school board leader asked a question of the students,47
2846,The sexual revolution makes some people uncomfortable,47
2847,Historians believe FDR to be our most effective president,49
2848,Tom locked Fido in the garage,24
2849,Tom bathed Fido in the garage,24
2850,Tom placed it under the table,24
2851,Tom played it under the table,24
2852,I wonder if you will come back tomorrow,32
2853,You would have a reply if you come back tomorrow,39
2854,Tom hid the manuscript in the cupboard,32
2855,Fred hired Sharon to change the oil,29
2856,They pushed the prisoners into the truck,34
2857,Frank hopes to persuade Harry to make the cook wash the dishes,51
2858,George mailed the attorney his photograph of the accident,49
2859,Jane left the book on the table,25
2860,We have not confirmed whether the flight had been booked,47
2861,We saw him beaten by the champion,27
2862,They confined his remarks to the matter under discussion,48
2863,The love of my life and father of my children would never do such a thing,58
2864,The museum displayed no painting by Miro or drawing by Klee,49
2865,Learning to use a language freely and fully is a lengthy and arduous process,63
2866,Kim put the book in the box,21
2867,They wrote to her,14
2868,They are kind to her,16
2869,They want to write to her,20
2870,They want to be kind to her,21
2871,The student knows the answers,25
2872,The student knew the answers,24
2873,The students know the answers,25
2874,He is writing another long book about beavers,38
2875,The chicken has eaten,18
2876,The chicken was eaten,18
2877,The monkeys kept forgetting their lines,34
2878,John made Mary cook Korean food,26
2879,The monkey seems despondent that it is in a cage,39
2880,The monkey seems despondent,24
2881,He seems intelligent to study medicine,33
2882,Monkeys are eager to leave,22
2883,The foxes seem compatible with the chickens,37
2884,These are similar to the bottles,27
2885,The teacher is proud of his students,30
2886,The contract is subject to approval by my committee,43
2887,There exists only one truly amphibian mammal,38
2888,There arose a great storm,21
2889,There is a riot in the park,21
2890,There remained just a few problems to be solved,39
2891,John demanded that she stop phoning him,33
2892,Joe warned the class that the exam would be difficult,44
2893,We told Tom that he should consult an accountant,40
2894,Mary convinced me that the argument was sound,38
2895,Tom intends for Sam to review that book,32
2896,John would prefer for the children to finish the oatmeal,47
2897,For John to either make up such a story or repeat it is outrageous,53
2898,For John either to make up such a story or to repeat it is outrageous,55
2899,For John to tell Bill such a lie and Bill to believe it is outrageous,55
2900,John intends to review the book,26
2901,John would prefer to finish the oatmeal,33
2902,Tom tried to ask a question,22
2903,Tom tends to avoid confrontations,29
2904,Joe hoped to find a solution,23
2905,John believed it,14
2906,John believed that he is honest,26
2907,John mentioned the issue to me,25
2908,John mentioned to me that the question is an issue,41
2909,She pinched his arm as hard as she could,32
2910,We hope that such a vaccine could be available in ten years,48
2911,Cohen proved the independence of the continuum hypothesis,50
2912,Cohen proved that the continuum hypothesis was independent,51
2913,John bothers me,13
2914,That John coughed bothers me,24
2915,John loves Bill,13
2916,That John sold the ostrich surprised Bill,35
2917,For John to train his horse would be desirable,38
2918,To train his horse would be desirable,31
2919,That the king or queen be present is a requirement on all Royal weddings,59
2920,Which otter you should adopt first is unclear,38
2921,Tom is confident that the elephants respect him,40
2922,Tom is insistent that the defendants be truthful,41
2923,Tom seems eager for her brother to catch a cold,38
2924,Tom seems eager to catch a cold,25
2925,I am ashamed that I neglected you,27
2926,I am delighted that Mary finished his thesis,37
2927,We were thankful that no one had been hurt,34
2928,We were glad it was over,19
2929,Bill alleged that Fred signed the check,33
2930,We believe that the directors were present,36
2931,We convinced him that the operation is safe,36
2932,The outcome depends on how many candidates participate in the election,60
2933,Fred is thinking about whether he should stay in Seoul,45
2934,The offer made Smith admire the administrators,40
2935,John tried to make Sam let George ask Bill to keep delivering the mail,57
2937,The picture on the wall reminded him of his country,42
2938,Free enterprise is compatible with American values and traditions,57
2940,Acknowledge that everyone has limits,32
2941,We are aware of the existing problems,31
2942,Aloe may have an analgesic effect on inflammation and minor skin irritations,65
2943,The public never had faith in his ability to handle the job,48
2944,He repeated his claim that the people backed his action,46
2945,We made them take the money,22
2946,Do not use these words in the beginning of a sentence,43
2947,We know the defendants seem eager to testify against the criminal,55
2948,His friend learned dancing,23
2949,No John Smiths attended the meeting,30
2950,This John Smith lives in Seoul,25
2951,There are three Davids in my class,28
2952,My brother is an Einstein at maths,28
2953,You is the only person that I can rely on,32
2954,He is the only person that I can rely on,31
2955,The boy swims,11
2956,Five pounds is a lot of money,23
2957,Two drops sanitize anything in your house,35
2958,Fifteen dollars in a week is much,27
2959,Fifteen years represents a long period of his life,42
2960,Two miles is as far as they can walk,28
2961,This Government have been more transparent in the way they have dealt with public finances than any previous government,101
2962,This Government has been more transparent in the way they have dealt with public finances than any previous government,100
2964,We listened to as little of his speech as possible,41
2965,One of the people was dying of thirst,30
2966,Many of the people were dying of thirst,32
2967,Many people were dying of thirst,27
2968,Each of the suggestions is acceptable,32
2969,Neither of the cars has air conditioning,34
2970,None of these men wants to be president,32
2971,Most of the children are here,24
2972,Some of the soup needs more salt,26
2973,Some of the diners need menus,24
2974,All of the land belongs to the government,34
2975,All of these cars belong to me,24
2976,John is in the room,15
2977,I am fond of him,12
2978,Some of the record contains evidence of wrongdoing,43
2979,Much of that theory is unfounded,27
2980,He is afraid of foxes,17
2981,It is a wooden desk,15
2982,It is the main street,17
2983,The man holding the bottle disappeared,33
2984,The papers removed from the safe have not been found,43
2985,The money that you gave me disappeared last night,41
2986,and index values of the subject and the main verb,40
2987,Neither of these men is worthy to lead Italy,36
2988,None of his customary excuses suffices Edgar now,41
2989,One of the problems was the robins,28
2990,All of the plant virus web sites have been conveniently collected in one central location,75
2991,Some of the water from melted snow also goes into the ground for plants,58
2992,Most of the milk your baby consumes during breastfeeding is produced during nursing,71
2993,All special rights of voting in the election were abolished,50
2994,One of major factors affecting the value of diamonds was their weight,58
2995,Each of these stones has to be cut and polished,38
2997,The committee was unanimous in their decision,39
2998,The committee have all now resigned,30
2999,The crew have both agreed to change sponsor,36
3000,Her family is all avid skiers,24
3001,Both of the workers will wear carnations,34
3002,Both the workers will wear carnations,32
3003,Both will wear carnations,22
3004,Few doctors approve of our remedy,28
3005,Few approve of our remedy,21
3006,An example of these substances be tobacco,35
3007,The effectiveness of teaching and learning depend on several factors,59
3008,One of the most serious problems that some students have be lack of motivation,65
3009,Ten years be a long time to spend in prison,34
3010,Everyone of us be given a prize,25
3011,Some of the fruit be going bad,24
3012,All of his wealth come from real estate investments,43
3013,Fifty pounds seem like a lot of weight to lose in one year,46
3014,News of Persephone and Demeter reach the great gods and goddesses of Olympus,64
3015,Half of the year be dark and wintry,28
3016,Some of the promoters of ostrich meat compare its taste to beef tenderloin,62
3017,I washed myself,13
3018,I washed you,10
3019,He kicked you,11
3020,You washed yourself,17
3021,Harry says that Sally dislikes him,29
3022,Sally believes that she is brilliant,31
3023,The power of your mind and the power of your body have a tight connection,59
3024,John tries to fix the computer,25
3025,John seems to fix the computer,25
3026,Mary persuaded John to fix the computer,33
3027,Mary expected John to fix the computer,32
3028,John tries to be honest,19
3029,John seems to be honest,19
3030,John makes efforts for himself to be honest,36
3031,It seems that John is honest,23
3032,It tends to be warm in September,26
3033,It seems to bother Kim that they resigned,34
3034,It is easy to please Kim,19
3035,John is eager to please Kim,22
3036,Stephen seemed to be intelligent,28
3037,It seems to be easy to fool Ben,24
3038,There is likely to be a letter in the mailbox,36
3039,Tabs are likely to be kept on participants,35
3040,Sandy tried to eat oysters,22
3041,The king thanked the man,20
3042,The color red seems to be his favorite color,36
3043,The cat seems to be out of the bag,26
3044,The dentist is likely to examine Pat,30
3045,Pat is likely to be examined by the dentist,35
3046,The dentist is eager to examine Pat,29
3047,Pat is eager to be examined by the dentist,34
3048,Stephen believed Ben to be careful,29
3049,Stephen persuaded Ben to be careful,30
3050,Stephen believed it to be easy to please Kim,36
3051,Stephen believed there to be a fountain in the park,42
3052,Stephen believed the cat to be out of the bag,36
3053,The dentist was believed to have examined Pat,38
3054,Pat was believed to have been examined by the dentist,44
3055,The dentist was persuaded to examine Pat,34
3056,Stephen seems to be irritating,26
3057,Tom believes Stephen to be irritating,32
3058,John persuaded Stephen to be more careful,35
3059,It seemed to rain,14
3060,There seemed to be a fountain in the park,33
3061,Stephen tried to be intelligent,27
3062,Someone tried to leave the town,26
3063,There seems to be a fountain in the park,32
3064,We believed there to be a fountain in the park,37
3065,We believed John to try to leave the country,36
3066,The cat tries to be out of the bag,26
3067,They persuaded me to leave,22
3068,They promised me to leave,21
3069,Under the bed is a fun place to hide,28
3070,Kim may have admitted to let Mary mow the lawn,37
3071,Gregory appears to have wanted to be loyal to the company,47
3072,Jones would prefer for it to be clear to Barry that the city plans to sue him,61
3073,John continues to avoid the conflict,31
3074,The captain ordered the troops to proceed,35
3075,He coaxed his brother to give him the candy,35
3076,John wants it to be clear to Ben that the city plans to honor him,51
3077,There is only one chemical substance involved in nerve transmission,58
3078,There are more chemical substances involved in nerve transmission,57
3079,There is believed to be a sheep in the park,34
3080,There are believed to be sheep in the park,34
3081,There seems to be no student absent,29
3082,There is likely to be no student absent,32
3083,Pat expected Leslie to be aggressive,31
3084,Pat persuaded Leslie to be aggressive,32
3085,Pat promised Leslie to be aggressive,31
3086,Kevin urged Anne to be loyal to her,28
3087,We expect the dentist to examine us,29
3088,We expect them to examine themselves,31
3089,We persuaded the dentist to examine us,32
3090,We persuaded them to examine themselves,34
3091,Tom will not leave,15
3092,She would never believe that story,29
3093,The boys will all be there,21
3094,The children will have been being entertained,39
3095,Mary solved the problem,20
3096,Mary would solve the problem,24
3097,Mary was solving the problem,24
3098,Mary would easily solve the problem,30
3099,Mary did not avoid Bill,19
3100,Fred must have been singing songs and probably was drinking beer,54
3101,Fred must both have been singing songs and have been drinking beer,55
3102,Fred must have both been singing songs and been drinking beer,51
3103,Fred must have been both singing songs and drinking beer,47
3104,There might be a unicorn in the garden,31
3105,It will rain tomorrow,18
3106,John will leave the party earlier,28
3107,I hope to study in France,20
3108,John will kick the ball,19
3109,There may exist a man in the park,26
3112,John is running to the car,21
3113,The child never became crazy,24
3114,The child was never crazy,21
3115,The child was never running to the car,31
3116,The child was never deceived,24
3117,John is happy about the outcome,26
3118,John was seeing his children,24
3119,The children are seen in the yard,27
3120,John has not sung a song,19
3121,John has sung a song and Mary has too,29
3122,John can have danced,17
3123,John can be dancing,16
3124,He has seen his children,20
3125,He will have been seeing his children,31
3126,is out since the following is finite,30
3127,You are a student,14
3128,You have not enough money,21
3129,John does not like this town,23
3130,In no other circumstances does that distinction matter,47
3131,John did leave,12
3132,John may leave,12
3134,John did not leave,15
3135,He might have left,15
3136,John believes Kim not to leave here,29
3138,Kim regrets not having seen the movie,31
3139,Kim regrets never having seen the movie,33
3140,We asked him not to try to call us again,31
3141,We asked him never to try to call us again,33
3142,Duty made them not miss the weekly meetings,36
3143,Duty made them never miss the weekly meetings,38
3144,Not speaking English is a disadvantage,33
3145,Lee is believed not to like Kim,25
3146,Lee is believed to not like Kim,25
3147,The president could not approve the bill,34
3148,It would be possible for the president not to approve the bill,51
3149,It would not be possible for the president to approve the bill,51
3150,Lee will never leave,17
3151,Lee will not leave,15
3152,John could not leave the town,24
3153,I shall go downtown,16
3154,You better not drink,17
3155,Kim is happy and Sandy is too,23
3156,John got sent to prison,19
3157,He ought to leave his luggage here,28
3158,He dared not argue against his parents,32
3159,He used to go there very often,24
3160,The gardener must trim the rose bushes today,37
3161,This should be the beginning of a beautiful friendship,46
3162,I am removing the shovel from the shed,31
3163,The travelers have returned from their vacation,41
3164,Springfield would have built a police station with the federal grant,58
3165,Sharks could have been cruising near the beach,39
3166,She seem to have given financial assistance to an important French art dealer,65
3167,It has rained every day for the last week,33
3168,Tagalog is spoken in the Philippines,31
3169,The roof is leaking,16
3170,Sam may have been being interrogated by the FBI,39
3171,The senator should not have forgotten the concerns of her constituents,60
3172,Tokyo has not loosened trade restrictions,36
3173,I could have little known that more trouble was just around the corner,58
3174,Hardly was there any rain falling,28
3175,Little did I know that more trouble was just around the corner,51
3176,Nobody told them anything,22
3178,Hardly any of the citizens ever say anything,37
3179,The unidentified victim was apparently struck during the early morning hours,66
3180,Targets can be observed at any angle,30
3181,The executive committee approved the new policy,41
3182,The new policy was approved by the executive committee,46
3183,John has taken Bill to the library,28
3184,John has chosen Bill for the position,31
3185,John has been taken to the library,28
3186,John has been chosen for the position,31
3187,Pat handed a book to Chris,21
3188,A book was handed to Chris by Pat,26
3189,A book was handed to Chris,21
3190,They believe it to be easy to annoy Ben,31
3191,They believe there to be a dragon in the wood,36
3192,It is believed to be easy to annoy Ben,30
3193,There is believed to be a dragon in the wood,35
3194,No one believes that he is a fool,26
3195,No one suspects that he is a fool,26
3196,That he is a fool is suspected by no one,31
3197,They believe the cat to be out of the bag,32
3198,The cat is believed to be out of the bag,31
3199,John drove the car,15
3200,John was driving the car,20
3201,The car was being driven,20
3202,John will drive the car,19
3203,The car will be driven,18
3204,John has driven the car,19
3205,The car has been driven,19
3206,John has been driving the car,24
3207,The car has been being driven,24
3208,The car will have been being driven,29
3209,Pat handed Chris a note,19
3210,Chris was handed a note,19
3211,Chris was handed a note by Pat,24
3212,The model resembles Kim in nearly every detail,39
3213,It is rumored that he is on his way out,30
3214,John is said to be rich,18
3215,He is reputed to be a good scholar,27
3216,He kicked the ball,15
3217,The ball was kicked by him,21
3218,John kicked him,13
3219,He was kicked by John,17
3220,John sent her to Seoul,18
3221,She was sent to Seoul,17
3222,They widely believed that John was ill,32
3223,That John was ill was widely believed,31
3224,You can rely on Ben,15
3225,Ben can be relied on,16
3226,They talked about the scandal for days,32
3227,The scandal was talked about for days,31
3228,The issue was dealt with promptly,28
3229,This should be attended to immediately,33
3230,These are the books that we have gone most thoroughly over,48
3231,They look generally on John as selfish,32
3232,Pavarotti relied on Loren and Bond on Hepburn,38
3233,Loren was relied on by Pavarotti and Hepburn by Bond,43
3234,The lawyer looked into the document,30
3235,The document was looked into by the lawyer,35
3236,Peter has been asked to resign,25
3238,Smith wants the picture to be removed from the office,44
3239,The events have been described well,30
3241,Cancer is now thought to be unlikely to be caused by hot dogs,49
3242,Frances has had the drapes cleaned,29
3243,Shirley seems to have Fred promoted,30
3244,Nina got Bill elected to the committee,32
3245,We got our car radio stolen twice on holiday,36
3246,Frances has had her clean the drapes,30
3247,Nina got them to elect Bill,22
3248,The news was dealt with carefully,28
3249,The tree was looked after by Kim,26
3250,We cannot put up with the noise anymore,32
3251,He will keep up with their expectations,33
3252,This noise cannot be put up with,26
3253,Their expectations will be kept up with,33
3254,They paid a lot of attention to the matter,34
3255,The son took care of his parents,26
3256,The matter was paid a lot of attention to,33
3257,A lot of attention was paid to the matter,33
3258,The lake is not to be camped beside by anybody,37
3259,The beans were grown by the gardener,30
3260,The plums were weighed by the grocer,30
3262,This bed was surely slept in by a huge guy last night,42
3263,Rosie got struck by lightning,25
3264,I got phoned by a woman friend,24
3265,He got hit in the face with the tip of a surfboard,39
3266,Be very clever,12
3267,I ask you if this is what you want,26
3268,We talked about the fact that he was sick for days,40
3269,These qualities recommended him to Oliver,36
3270,The UN recommended an enlarged peacekeeping force,43
3271,This is the book which the teacher recommended,39
3272,John put the books in a box,21
3273,This is the kind of person who I doubt that under normal circumstances would have anything to do with such a scheme,94
3274,John asks whose book his son likes,28
3275,John has forgotten which player his son shouted at,42
3276,He told me how many employees Karen introduced to the visitors,52
3277,he had been reading the article,26
3278,John inquired which book he should read,33
3279,Peter will decide which book we should review,38
3280,John told us that we should review the book,35
3281,John told us which book we should review,33
3282,John asks in which box he put the book,30
3283,John asks which book by his father he read,34
3284,Kim has wondered in which room Gary stayed,35
3285,Lee asked me how fond of chocolates the monkeys are,42
3286,John knows whose book Mary bought and Tom borrowed from her,49
3287,She gets upset if I exclude her from anything,37
3288,She gets upset whether I exclude her from anything,42
3289,I am not certain about when he will come,32
3290,I am not certain about whether he will go or not,38
3291,Fred knows which politician to support,33
3292,Karen asked where to put the chairs,29
3293,The student protected him,22
3294,To protect him is not an easy task,27
3295,Joseph has forgotten how many matches he has won,40
3296,Fred will warn Martha that she should claim that her brother is patriotic,61
3298,Jasper wonders which book he should attempt to persuade his students to buy,63
3299,This needs mending,16
3300,He mended the shoe,15
3301,This needs investigating,22
3302,They investigated the problem,26
3303,The video which you recommended was really terrific,44
3304,The video which I thought you recommended was really terrific,52
3305,The video which I thought John told us you recommended was really terrific,62
3306,the student who won the prize left,28
3307,the student who everyone likes left,30
3308,the person whom John gave the book to left,34
3309,the day when I met her was sunny,25
3310,The president who Fred voted for has resigned,38
3311,The president that Fred voted for dislikes his opponents,48
3312,The president Fred voted for has resigned,35
3313,has no relative pronoun at all,25
3314,He is the kind of person with whom to consult,36
3315,These are the things for which to be thankful,37
3316,We will invite volunteers on whom to work,34
3317,This is the student pictures of whom appeared in the newspaper,52
3318,the people happy with the proposal left,33
3319,the person standing on my foot is heavy,32
3320,Jack is the person whom Jenny fell in love with,38
3321,Jack is the person with whom Jenny fell in love,38
3323,This is the friend for whose mother Kim gave a party,42
3324,The teacher set us a problem the answer to which we can find in the textbook,61
3325,We called the senators who met Fred,29
3326,The kid picked up the apple that fell down on the ground,45
3327,He made a statement which everyone thought was really interesting and important,68
3328,They all agreed to include those matters which everyone believed had been excluded from the Treaty,83
3329,Mary knows that John was elected,27
3330,That John was elected surprised Frank,32
3331,Mary told Bill that John was elected,30
3332,This is the book that we had read,26
3333,The president abandoned the people that voted for him,45
3334,It is an argument that people think will never end in Egypt,48
3335,the student whose turn it was left,28
3336,the pencil with which he is writing broke,34
3337,a pencil with which to write broke,28
3338,The company in which they have invested left,37
3339,The people in whose house we stayed left,33
3340,The person with whom he felt most comfortable left,42
3341,He bought a bench on which to sit,26
3342,He bought a refrigerator in which to put the beer,40
3343,There is a bench for you to sit on,26
3344,the person I met is from Boston,25
3345,the box we put the books in is sealed,29
3346,He made a statement everyone thought was interesting and important,57
3347,They all agreed to include those matters everyone believed had been excluded from the Treaty,78
3348,The person who John asked for help thinks he is foolish,45
3349,I met the lady from France who grows peaches,36
3350,Every student who attended the party had a good time,43
3351,He who laughs last laughs best,25
3352,The knife which he threw into the sea had a gold handle,44
3353,The knife that he threw into the sea had a gold handle,43
3354,Bill cooked supper and washed the dishes,34
3355,He refuted the proof that you cannot square it,38
3356,They met someone who knows the professor,34
3357,That he has met the professor is extremely unlikely,43
3358,This is the paper that we really need to find the linguist who understands,61
3359,A fellow student saw this felt sorry for Miss Kim and offered her his own book,63
3360,Experts all agree that dreams cause great anxiety and stress are called nightmares,70
3361,The victims of the earthquake their property was destroyed in the disaster were given temporary housing by the government,103
3362,This is the book which I need to read,29
3363,The person whom they intended to speak with agreed to reimburse us,55
3364,The motor that Martha thinks that Joe replaced costs thirty dollars,57
3366,The man on whose lap the puppet is sitting is ventriloquist,49
3367,We just finished the final exam the result of which we can find out next week,62
3368,The fact that scientists have now established all the genes in the human body is still not widely known,85
3369,The fact that the scientists used the latest technology to verify was reported at the recent conference,87
3370,They ignored the suggestion that Lee made,35
3371,They ignored the suggestion that Lee lied,35
3373,They denied the claim that they should report only to us,46
3374,The hotel where Gloria stays is being remodelled,41
3375,The day when Jim got fired was a sad day for everyone,42
3376,John is tough to persuade,21
3377,John made it clear that he would finish it on time,40
3378,It is John that I met last night in the park,34
3379,I wonder whom Sandy loves,21
3380,This is the politician on whom Sandy relies,36
3381,He is hard to love,14
3382,It is easy to please John,20
3383,John is easy to please,18
3384,John is eager to please,19
3385,To please John is tough,19
3386,It is tough to please John,21
3387,John is tough to please,19
3388,John is ready to please,19
3389,Kim is easy to please,17
3390,Kim is eager to please,18
3391,This doll is hard to see,19
3392,The child is impossible to teach,27
3393,The problem is easy to solve,23
3394,John is eager to examine the patient,30
3395,John is eager to find a new home,25
3396,Hei is easy to please i,18
3397,This theorem will take only five minutes to prove,41
3398,This sonata is easy to play on this piano,33
3399,That dogs bark annoys people,24
3400,It annoys people that dogs bark,26
3401,Why she told him is unclear,22
3402,It is unclear why she told him,24
3403,to leave so soon would be inconvenience,33
3404,It would be inconvenience to leave so soon,35
3405,It would be inconvenience for you to leave so soon,41
3406,That the Dalai Lama claims Tibet independence disturbs the Chinese government,67
3407,It disturbs the Chinese government that the Dalai Lama claims Tibet independence,69
3408,I believe the problem to be obvious,29
3409,I believe it to be obvious that the problem is not easy,44
3410,I do not think it unreasonable to ask for the return of my subscription,58
3411,That you came early surprised me,27
3412,It surprised me that you came early,29
3413,That Chris knew the answer occurred to Pat,35
3414,It occurred to Pat that Chris knew the answer,37
3415,It really freaks me out that we invaded Iraq,36
3416,That we invaded Iraq really creeps me out,34
3417,That we invaded Iraq really freaks me out,34
3418,It really bites that we invaded Iraq,30
3419,That Fido barks annoys me,21
3420,A man came into the room that no one knew,32
3421,A man came into the room with blond hair,32
3422,I read a book during the vacation which was written by Chomsky,51
3423,Ray found the outcome frustrating,29
3424,Ray found it frustrating that his policies made little impact on poverty,61
3425,I made it my objective to settle the matter,35
3426,I made the settlement of the matter my objective,40
3427,I owe it to you that the jury acquitted me,33
3428,I owe my acquittal to you,20
3429,I believe strongly that the world is round,35
3430,Their teaching material is what we are using,37
3431,We are using their teaching material,31
3432,It was the man that bought the articles from him,39
3433,It was then that he felt a sharp pain,29
3434,It was to the student that the teacher gave the best advice,48
3435,It was the girl who kicked the ball,28
3436,What you want is a little greenhouse,30
3437,What is to come is in this document,28
3438,What I meant was that you have done it really well,40
3439,What happened is they caught her without a license,42
3440,What the gentleman seemed to be asking is how policy would have differed,60
3441,Insensitive is how I would describe him,33
3442,In the early morning is when I do my best research,40
3443,That was why she looked so nice,25
3444,What you heard was an explosion,26
3445,It was an explosion that you heard,28
3446,What you should do is order one first,30
3447,And it was this matter on which I consulted with the chairman of the Select Committee,70
3448,What I ate is an apple,17
3449,What we are using is their teaching material,37
3450,The student who got A in the class was very happy,39
3451,He got what he wanted,17
3452,He put the money where Lee told him to put it,35
3453,The concert started when the bell rang,32
3454,I ate what John ate,15
3455,I ate an apple,11
3456,This is how he did it,16
3457,This is why he came early,20
3458,It was then when we all went to bed,27
3459,It is Uncle John whose address I lost,30
3460,It was the director that she wants to meet,34
3461,It was the director that she said she wants to meet,41
3462,It was the director that I think she said she wants to meet,47
3463,I wonder who it was who saw you,24
3464,I wonder who it was you saw,21
3466,It is difficult for me to concentrate on calculus,41
3467,For me to concentrate on calculus is difficult,39
3468,Calculus is difficult for me to concentrate on,39
3469,Being lovely to look at has its advantages,35
3470,Letters to Grandma are easy to help the children to write,47
3471,It was to Boston that they decided to take the patient,44
3473,It was Tom who spilled beer on this couch,33
3474,It is Martha whose work critics will praise,36
3475,It was John on whom the sheriff placed the blame,39
3476,I wondered who it was you saw,23
3477,I was wondering in which pocket it was that Kim had hidden the jewels,56
3478,I believe it to be her father who was primarily responsible,49
3479,I believe it to be the switch that is defective,38
3480,Tom ate what Mary offered to him,26
3481,I wonder what Mary offered to him,27
3482,What Mary offered to him is unclear,29
3483,At most three girls saw anything,27
3484,Every girl who saw anything was happy,31
3485,Any owl hunts mice,15
3486,Any lawyer could tell you that,25
3487,I would dance with anybody,22
3488,Almost every lawyer could answer that question,40
3489,Almost no lawyer could answer that question,37
3490,Almost any lawyer could answer that question,38
3491,I would dance with Mary or Sue,24
3492,Mary or Sue could tell you that,25
3493,An owl hunts mice,14
3494,Generics allow exceptions,23
3495,A poodle gives live birth,21
3496,Every poodle gives live birth,25
3497,Every man who has matches is happy,28
3498,Every man who has any matches is happy,31
3499,And then all the owls go on a mice hunt,30
3500,At most three teachers assigned homework,35
3501,At most three teachers assigned any homework,38
3502,Every student who handed in some homework will get a prize,48
3503,Every student who handed in any homework will get a prize,47
3504,A professional dancer would be able to do it,36
3505,Any professional dancer would be able to do it,38
3506,Sue was the most likely not to say anything,35
3507,Sue said something although she was the most likely not to say anything,59
3508,Cows fly more often than John visits any relatives,42
3509,Every child should have a daily glass of milk,37
3510,Each child should have a daily glass of milk,36
3511,I want for nobody to hate me,22
3512,He bought a Honda,14
3513,Almost any owl hunts mice,21
3514,Absolutely any owl hunts mice,25
3515,He began writing poems,19
3516,He kept writing poems,18
3517,He continued writing poems,23
3518,He stopped writing poems,21
3519,The men would have all been working,29
3520,The men would have been all working,29
3521,The men would not enjoy that,23
3522,The men all would not have been working,32
3523,The men would not have all been working,32
3524,The men would not all have been working,32
